mean_flux,std_flux,median_flux,min_flux,max_flux,flux_range,skewness,kurtosis,transit_depth,below_mean_fraction,rms,peak_to_peak,percentile_10,percentile_90,percentile_range,autocorr_lag1,n_dips,snr,star_name,label,mission
1.0000226015246239,0.0004987994968670663,1.0000230073928833,0.9975472688674928,1.0024296045303345,0.004882335662841686,-0.002787358120424204,0.46687013218214446,0.0024753326571310685,0.49965133334936396,1.0000227259222734,0.004882335662841686,0.9993983507156372,1.000656247138977,0.0012578964233398438,0.06819682239913918,897,2004.858881786597,Kepler-7,1,Kepler
1.00000000844593,0.00024106947188768567,1.0,0.9987962245941162,1.0012017488479614,0.002405524253845215,-0.018997426491297955,0.30128332415480674,0.0012037838518137445,0.5000115465441194,1.0000000375031743,0.002405524253845215,0.999696671962738,1.0003063678741455,0.0006096959114074707,0.2425483637863329,1060,4148.1818523741995,Kepler-10,1,Kepler
0.9999977048350497,0.0008759332214825419,0.9999993145465852,0.9959836602211,1.0042489767074585,0.008265316486358532,0.0038215671643898443,0.2180565127882539,0.004014044613949719,0.4992105507569425,0.9999980884653609,0.008265316486358532,0.9988767147064209,1.00111186504364,0.002235150337218994,0.0579262649808212,1021,1141.636919698656,Kepler-11,1,Kepler
0.9998630907580613,0.0010781643117706132,1.0000096559524536,0.9950947165489196,1.0052179098129272,0.01012319326400768,-0.38337176037442044,-0.28604158333387986,0.004768374209141779,0.4413371457795755,0.9998636720566191,0.01012319326400768,0.9982578277587889,1.0011600017547608,0.002902173995971924,0.8984326816053693,1479,927.375428626494,Kepler-16,1,Kepler
1.0000011197454468,0.0002999221903805686,0.9999998807907104,0.9985105395317078,1.0014899969100952,0.002979457378387451,0.05082574274518759,0.20633119123191213,0.0014905802137390456,0.5017785217345818,1.0000011647220557,0.002979457378387451,0.9996196031570436,1.000383973121643,0.0007643699645994984,0.12491486550269103,855,3334.201842406373,Kepler-22,1,Kepler
1.000013701250694,0.0002530437734854246,1.0000000298023224,0.9989479780197144,1.001254677772522,0.002306699752807617,0.038578206678891835,0.8080536862402208,0.0010657232309796427,0.5258620689655172,1.0000137332658305,0.002306699752807617,0.999716579914093,1.00035640001297,0.0006398200988770864,0.5898766203265043,35,3951.939569492293,Kepler-62,1,Kepler
0.9999853139082493,0.0005818051087722072,0.9999991059303284,0.9977365732192992,1.0016934871673584,0.003956913948059193,-0.2021014398552852,-0.13661684956097897,0.0022487406889500905,0.4892041949413942,0.9999854831593129,0.003956913948059193,0.9992308020591736,1.000718593597412,0.0014877915382385254,0.7342229565180487,37,1718.763377685931,Kepler-186,1,Kepler
1.0000440423237418,0.0005991262061922415,0.9999997615814208,0.9982128143310548,1.0028496980667114,0.004636883735656627,0.2883056404729633,0.05380238540631899,0.001831227992686979,0.5280345040049291,1.000044221791927,0.004636883735656627,0.9993048906326294,1.0008394956588744,0.0015346050262450284,0.6047254888254237,17,1669.1709225666184,Kepler-442,1,Kepler
1.0000039844878956,0.00012795229986080586,1.0,0.999700665473938,1.0006020069122314,0.000901341438293457,0.561241639987237,1.731907475260082,0.00030331901395763694,0.5266524520255863,1.0000039926737585,0.000901341438293457,0.9998493432998657,1.0001519680023194,0.0003026247024536799,-0.009488839142548335,9,7815.443611218865,Kepler-452,1,Kepler
1.0000046884890683,0.0009369132901785407,0.9999995231628418,0.9969034194946288,1.004402756690979,0.007499337196350209,0.22448835827646327,0.426105823332374,0.003101268994439521,0.5037488284910965,1.000005127390171,0.007499337196350209,0.9988257229328157,1.0011917114257813,0.002365988492965654,0.057995445854965084,79,1067.3396342776873,Kepler-1649,1,Kepler
0.9999974083506544,0.0016558375478268883,1.0,0.9938499331474304,1.006603717803955,0.012753784656524658,0.030255359639259936,-0.013148836991043744,0.0061474752032240065,0.4993161551507194,0.9999987792522601,0.012753784656524658,0.9978557229042053,1.0021023750305176,0.004246652126312256,0.01895785233512087,398,603.9224135622757,TOI-700,1,TESS
0.999997972781867,0.0023561280858494563,1.0000019073486328,0.9892167448997498,1.0094019174575806,0.02018517255783081,-0.0568046157815819,0.3146612980920849,0.010781227882117217,0.4994115610938041,1.0000007484534201,0.02018517255783081,0.9970278859138488,1.0029803276062013,0.005952441692352428,0.16792820593543745,361,424.42428269825456,TOI-1338,1,TESS
0.9999568112903925,0.006688232815718495,0.9999999105930328,0.9700764417648317,1.027531623840332,0.05745518207550038,0.0021365442183257036,0.11886389977703793,0.029880369525560835,0.4972858538703724,0.9999791782353504,0.05745518207550038,0.9914835810661317,1.008416485786438,0.016932904720306285,0.012219921173088623,427,149.50986887602392,TOI-2257,1,TESS
0.9999875979605677,0.003366082824372012,0.9999997019767761,0.986038088798523,1.0138100385665894,0.027771949768066406,-0.014353469591428338,0.16382255517367694,0.013949509162044738,0.4982486865148862,0.9999932632715715,0.027771949768066406,0.9957329034805298,1.004318082332611,0.00858517885208121,0.07671316241606911,451,297.0775379382202,LHS 3844,1,TESS
0.9999993352148316,0.000598348517508489,0.9999999701976776,0.9971230626106262,1.0026096105575562,0.005486547946929932,0.007071510014000128,0.522878624939358,0.002876272604205421,0.49992330111980365,0.9999995142254089,0.005486547946929932,0.9992624342441557,1.0007554531097411,0.0014930188655853938,0.10877043303495618,283,1671.265668675521,GJ 357,1,TESS
