time,flux,flux_err
2905.367722257033,0.8299955725669861,0.027695920318365097
2905.3684034090693,0.8091034293174744,0.027698999270796776
2905.3690844615703,0.8463542461395264,0.027714725583791733
2905.3697655140713,0.8393560647964478,0.02772293984889984
2905.370446466579,0.8544555306434631,0.027729734778404236
2905.371127618615,0.8396417498588562,0.027735283598303795
2905.371808671116,0.8164889216423035,0.02773667685687542
2905.372489823618,0.8228645324707031,0.027747847139835358
2905.373170876119,0.8225398063659668,0.02774907648563385
2905.3738519281615,0.8195710182189941,0.027759596705436707
2905.3745330806632,0.8448845744132996,0.02777412347495556
2905.3752141331643,0.8546080589294434,0.027783863246440887
2905.375895085199,0.8388203978538513,0.027787677943706512
2905.3765761377,0.8619937896728516,0.02780228480696678
2905.377257290209,0.8442614674568176,0.02780294418334961
2905.3779383422443,0.8210333585739136,0.02779318578541279
2905.378619494746,0.828346848487854,0.02780013717710972
2905.379300547247,0.8300222158432007,0.02781013213098049
2905.379981599748,0.8393866419792175,0.02781408093869686
2905.3806627517843,0.8377517461776733,0.027817901223897934
2905.381343704292,0.8294416069984436,0.027818234637379646
2905.382024756793,0.8298761248588562,0.027819093316793442
2905.382705808828,0.8346151113510132,0.027824126183986664
2905.38338696133,0.8349178433418274,0.027827171608805656
2905.384068013831,0.8598763942718506,0.02783968858420849
2905.3847490658736,0.8006085753440857,0.02781623601913452
2905.3854302183754,0.8372738361358643,0.027829831466078758
2905.3861112708764,0.8309507369995117,0.027829302474856377
2905.386792322912,0.8208160400390625,0.027825677767395973
2905.387473375413,0.8302176594734192,0.027828741818666458
2905.388154427921,0.8510279655456543,0.027835648506879807
2905.388835480422,0.8374272584915161,0.027832234278321266
2905.3895165324575,0.8434299826622009,0.027829065918922424
2905.3901976849593,0.8569391965866089,0.02783133089542389
2905.3908787374603,0.8309410214424133,0.027820635586977005
2905.391559789503,0.8362742066383362,0.027822982519865036
2905.3922409420047,0.8674259185791016,0.027828559279441833
2905.392921894505,0.8588971495628357,0.02781997248530388
2905.3936029465403,0.8837220668792725,0.027827100828289986
2905.394284099042,0.869053065776825,0.027820328250527382
2905.394965151543,0.8882357478141785,0.02782275155186653
2905.395646203586,0.8737164735794067,0.027816113084554672
2905.3963273560876,0.8077277541160583,0.027790332213044167
2905.3970084085886,0.8443435430526733,0.02779712900519371
2905.3976895606247,0.8516914248466492,0.027791332453489304
2905.3983704131315,0.8491436243057251,0.027790408581495285
2905.3990515656333,0.8642600774765015,0.02778950147330761
2905.3997326176686,0.8485947847366333,0.027783125638961792
2905.4004137701704,0.848251461982727,0.027777746319770813
2905.4010948226714,0.8542178273200989,0.027774624526500702
2905.401775874707,0.8405929803848267,0.027763182297348976
2905.4024570272086,0.8791891932487488,0.027770835906267166
2905.403138079717,0.8828931450843811,0.027769967913627625
2905.4038190317515,0.8650831580162048,0.02775450423359871
2905.4045001842533,0.8833534121513367,0.02775762975215912
2905.4051812367543,0.840802788734436,0.0277341827750206
2905.405862288797,0.8645656108856201,0.027744069695472717
2905.4065434412987,0.8365931510925293,0.0277241338044405
2905.4072244937997,0.8483613729476929,0.027721690014004707
2905.407905545835,0.8638064861297607,0.027722293511033058
2905.408586698337,0.8346557021141052,0.027709027752280235
2905.4092677503722,0.839360773563385,0.027707966044545174
