time,flux,flux_err
2905.3977155790417,0.9962039589881897,3.449439464020543e-05
2905.4181478970713,0.9959408640861511,3.4533513826318085e-05
2905.438580214177,0.9958903789520264,3.453522367635742e-05
2905.459012530817,0.99551922082901,3.453162935329601e-05
2905.479444846984,0.9961008429527283,3.458458013483323e-05
2905.4998771626924,0.9964572787284851,3.4619850339367986e-05
2905.5203094774697,0.9964364767074585,3.4659606171771884e-05
2905.5407417922397,0.996356189250946,3.470336378086358e-05
2905.5816064190003,0.9979668259620667,3.456572085269727e-05
2905.6020387319077,0.9978550672531128,3.449733412708156e-05
2905.6224711438917,0.9976791739463806,3.444668618612923e-05
2905.6429033554086,0.9973388910293579,3.461283631622791e-05
2905.6633356664533,0.9977936744689941,3.464249675744213e-05
2905.6837680770404,0.9976882338523865,3.469347575446591e-05
2905.7042002866947,0.9976576566696167,3.474857294349931e-05
2905.7246326958775,0.9971330761909485,3.473326432867907e-05
2905.745065004601,0.9966051578521729,3.4802756999852136e-05
2905.7654972128585,0.9966340065002441,3.481164822005667e-05
2905.7859296201786,0.9965551495552063,3.4835433325497434e-05
2905.8267941334343,0.999160647392273,3.472183379926719e-05
2905.8472265393575,0.9991336464881897,3.4777189284795895e-05
2905.867658744821,0.9992509484291077,3.480388841126114e-05
2905.8880911493543,0.9990431070327759,3.4773685911204666e-05
2905.908523453414,0.9989461302757263,3.4822383895516396e-05
2905.9289556570147,0.9985412955284119,3.486061541480012e-05
2905.949387959685,0.9982885122299194,3.483904220047407e-05
2905.9698203623484,0.9979408979415894,3.486708374111913e-05
2905.990252664087,0.9981645941734314,3.4898588637588546e-05
2906.0106849648946,0.9973752498626709,3.4864977351389825e-05
2906.031117265695,0.9970113635063171,3.516659853630699e-05
2906.071981865447,1.0006065368652344,3.4806136682163924e-05
2906.0924141643845,1.000598430633545,3.4873031836468726e-05
2906.112846462398,1.0004380941390991,3.482036845525727e-05
2906.133278860405,1.0002505779266357,3.488329457468353e-05
2906.1537110574864,0.9999711513519287,3.4901440812973306e-05
2906.174143354103,0.9998853206634521,3.48966168530751e-05
2906.1945757502544,0.9999616146087646,3.4917065931949764e-05
2906.2150079459316,0.9994373917579651,3.4921031328849494e-05
2906.2354402406854,0.9993634819984436,3.491379175102338e-05
2906.255872634967,0.9994240999221802,3.486108471406624e-05
2906.276304828789,0.9991812705993652,3.483593536657281e-05
2906.317169514572,1.0015618801116943,3.485211345832795e-05
2906.337601706524,1.0022087097167969,3.486277273623273e-05
2906.358033998018,1.0021995306015015,3.49294969055336e-05
2906.37846638904,1.0021854639053345,3.490978269837797e-05
2906.398898679603,1.002181887626648,3.491329334792681e-05
2906.4193309692346,1.0019335746765137,3.493038093438372e-05
2906.4397632584005,1.0018060207366943,3.495945202303119e-05
2906.4601955470935,1.00137197971344,3.497559009701945e-05
2906.480627835328,1.001100778579712,3.4939555916935205e-05
2906.501060122624,1.0009279251098633,3.496033605188131e-05
